Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Konger, krige og demokrati",Hvilken begivenhed i marts 1848 førte til dannelsen af en ny regering og arbejdet frem mod grundloven?,100,Martsdagene,Påskekrisen,Slaget på Fælleden,Augustoprøret,,,,Året 1848 og overgangen fra enevælde til indskrænket monarki - Danmarkshistorien,https://danmarkshistorien.lex.dk/%C3%85ret_1848_og_overgangen_fra_enev%C3%A6lde_til_indskr%C3%A6nket_monarki,OK_KILDE_TILFØJET,2026-07-09,Underbygger Martsdagene i 1848 og arbejdet frem mod fri forfatning.
"Konger, krige og demokrati",Hvilken dato ophørte den danske samarbejdsregering med at fungere under besættelsen?,200,29. august 1943,9. april 1940,4. maj 1945,19. september 1944,,,,Jødeaktionen og evakueringen af danske jøder i oktober 1943,https://danmarkshistorien.lex.dk/J%C3%B8deaktionen_og_evakueringen_af_danske_j%C3%B8der_i_oktober_1943,OK_KILDE_TILFØJET,2026-07-09,Underbygger jødernes evakuering til Sverige og sammenbruddet 29. august 1943.
"Konger, krige og demokrati",Til hvilket land blev størstedelen af de danske jøder bragt i sikkerhed i oktober 1943?,300,Sverige,Norge,Storbritannien,Schweiz,,,,Jødeaktionen og evakueringen af danske jøder i oktober 1943,https://danmarkshistorien.lex.dk/J%C3%B8deaktionen_og_evakueringen_af_danske_j%C3%B8der_i_oktober_1943,OK_KILDE_TILFØJET,2026-07-09,Underbygger jødernes evakuering til Sverige og sammenbruddet 29. august 1943.
"Konger, krige og demokrati",Hvilket europæisk samarbejde blev Danmark medlem af den 1. januar 1973?,400,EF,EFTA,Europarådet,Schengen,,,,Danmark i EF: 1973-1993 – Danmarkshistorien | Lex,https://danmarkshistorien.lex.dk/Danmark_i_EF%3A_1973-1993,OK_KILDE_TILFØJET,2026-07-09,Underbygger Danmarks medlemskab af EF fra 1. januar 1973.
"Konger, krige og demokrati",Hvilket år stemte et flertal af danskerne ja til medlemskab af EF?,500,1972,1969,1979,1986,,,,Erfaringer fra EF-folkeafstemningerne i Danmark og Norge 1972,https://danmarkshistorien.lex.dk/Erfaringer_fra_EF-folkeafstemningerne_i_Danmark_og_Norge_1972,OK_KILDE_TILFØJET,2026-07-09,Underbygger EF-folkeafstemningen i 1972.
"Konger, krige og demokrati",Hvilket kammer blev afskaffet med grundloven af 1953?,600,Landstinget,Folketinget,Statsrådet,Højesteret,,,,Danmarks Riges Grundlov af 5. juni 1953 - Danmarkshistorien,https://danmarkshistorien.lex.dk/Danmarks_Riges_Grundlov_af_5._juni_1953,OK_KILDE_TILFØJET,2026-07-09,Underbygger afskaffelsen af Landstinget og ændringer i tronfølgen.
"Konger, krige og demokrati",Hvilken ændring af tronfølgeloven blev godkendt ved folkeafstemning i 2009?,700,fuld ligestilling mellem kønnene i arvefølgen,valgkongedømme,afskaffelse af monarkiet,krav om mandlig førstefødsel,,,,Danmarks Riges Grundlov af 5. juni 1953 - Danmarkshistorien,https://danmarkshistorien.lex.dk/Danmarks_Riges_Grundlov_af_5._juni_1953,OK_KILDE_TILFØJET,2026-07-09,Underbygger afskaffelsen af Landstinget og ændringer i tronfølgen.
"Konger, krige og demokrati",Hvilket år fik Grønland hjemmestyre?,800,1979,1953,1985,2009,,,,Grønlands hjemmestyre 1979 – Danmarkshistorien | Lex,https://danmarkshistorien.lex.dk/Gr%C3%B8nlands_hjemmestyre_1979,OK_KILDE_TILFØJET,2026-07-09,Underbygger Grønlands hjemmestyre i 1979.
"Byer, øer og landskaber","Hvilket område i Sydvestjylland er en del af UNESCOs verdensarv på grund af tidevand, vader og trækfugle?",100,Vadehavet,Mols Bjerge,Stevns Klint,Rold Skov,,,,Vadehavet - UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1314/,OK_KILDE_TILFØJET,2026-07-09,Underbygger Vadehavet som UNESCO-verdensarv.
"Byer, øer og landskaber",Hvilken klint på Sjælland viser et tydeligt lag fra asteroidenedslaget ved overgangen mellem kridt og palæogen?,200,Stevns Klint,Møns Klint,Bulbjerg,Sangstrup Klint,,,,Stevns Klint - UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1416/,OK_KILDE_TILFØJET,2026-07-09,Underbygger Stevns Klint og kridt/palæogen-grænsen.
